"龐統當知縣","大材小用"
"賈寶玉愛林妹妹","好夢難圓"
"紅樓夢裏的賈府","大有大的難處"
"滾油鍋裏添涼水","炸瞭"
"瓦罐裏點燈","心裏亮，肚裏明"
"造屋請箍桶匠","找錯人啦"
"吹風機齣故障","壞瞭風氣"
"木偶流眼淚","假仁假義"
"癱子掉井裏","撈超也是坐"
"趕著綿羊過火焰山","往死裏逼"
"狗走韆裏吃屎，狼行韆裏吃肉","本性難移"
"趕車不帶鞭子","光拍馬屁"
"後娘打孩子","早晚是一頓"
"小偷不用化裝","賊頭賊腦"
"鞋裏頭跑馬","沒多大奔頭"
"新媳婦推車子","好的在後頭"
"毛驢笑人耳朵長","不知自醜"
"兔子進磨道","充什麼大耳朵驢"
"鼻子眼裏生豆芽","怪事一樁：怪事"
"大姑娘上樓梯","步步登高"
"七尺布攔腰剪","不三不四"
"一腳踩進泥沼裏","不能自拔"
"瞎子捉迷藏；飛機上張網","捕風捉影"
"三天賣兩條黃瓜","不慌不忙"
"熟過頭的石榴","不攻自破"
"修手錶的藉火鉗","夾(架)子大瞭無用"
"高梁稈做眼鏡","空架子"
"站在竹筒上","空虛"
"耗子啃菜刀","死路一條"
"耗子啃碟子","滿嘴詞"
"耗子攻牆","傢賊難防"
"奸狼下瞭個賊狐狸","不是好種；孬種"
"狼頭上插竹筍","裝樣"
"狼吃蓑衣","沒有人味"
"惡狼吃天","難下爪"
"羊群遇惡狼","各散四方；四處逃散"
"盛開的木棉花","紅透瞭；紅火一片；一片紅火"
"濕水棉花","談(彈)不得；無法談(彈)"
"石縫裏塞棉花","軟硬兼施"
"四兩棉花八張弓","細談(彈)"
"挑著棉花過刺笆林","東拉西扯；七勾八扯"
"挑著棉花過刺林","走一步，掛一點"
"新棉花網被絮","軟胎子"
"狼頭上插竹筍","裝樣(羊)"
"山間竹筍","嘴尖皮厚腹中空"
"圍著火爐吃西瓜","心上甜絲絲，身上暖烘烘"
"西瓜甜不甜","看心"
"瞎子摸著蜜罐子","嘗到甜頭"
"小蜜蜂說話","甜言蜜語"
"新疆的哈密瓜","甜甜蜜蜜"
"熊瞎子舔馬蜂窩","怕挨蜇彆想吃甜頭"
"土瞎子看告示","裝模做樣"
"東方打雷西方雨","聲東擊西"
"戲颱上打架","無關痛癢"
"爬高梯摘月亮","空想"
"拿著麵盆當月亮","不知輕重"
"拿個小錢當月亮","吝嗇鬼"
"三斤半鴨子兩斤半嘴","多嘴多舌"
"鴨子改雞","磨嘴皮"
"坐上飛機釣魚","差遠瞭"
"魚找魚，蝦找蝦，烏龜愛王八","氣味相投"
"魚大吃蝦，蝦大吃魚","弱肉強食"
"用小蝦釣鯉魚","吃小虧占大便宜"
"藉他的繮繩拎他的驢","將計就計"
"望江亭度中鞦","近水樓颱先得月"
"正月十五的月亮","光明正大"
"站在河岸撈月亮","白搭工"
"月亮下點油燈","多事"
"爛透的毒瘡","不可救藥"
"爛麻裏攙豬毛","一團糟"
"懶廚子做席","不想給你吵(炒)"
"藍天上的白雲","自由自在"
"癩子頭上抓癢","求之不得"
"癩蛤蟆打傘","怪事一樁；怪事"
"弟兄分傢爭勺子；案闆上的買賣"," 斤斤計較"
"拾錢不識街坊","見利忘義"
"鄉下不懂天文","見風是雨"
"豬頭掛在花椒樹上","肉麻"
"竹林裏栽柏樹","親(青)上加親(青)"
"蛀蟲鑽空大樹心","暗裏使壞"
"啄木鳥飛上黃蓮樹","自討苦吃"
"啄木鳥死在樹洞裏"," 吃瞭嘴的虧；全壞在嘴上"
"六月裏的梨疙瘩","有點酸"
"小擀杖放到醋缸裏","又尖又酸；尖酸"
"煙裏的放醋壇","酸氣衝天"
"搖著腦袋吃梅子","瞧你那個酸相"
"咬口生薑喝口醋","嘗盡辛酸"
"要甜的拿糖罐，要酸的拿醋壇","得心應手"
"屋簷下的大蔥","心不死；葉爛皮乾心不死"
"洗菜的洗萊，剝蔥的剝蔥","各管一工"
"小蔥拌豆腐","一清(青)二白"
"鼕天的竹筍","齣不瞭頭"
"黃連水裏泡竹筍","苦透瞭"
"狼頭上插竹筍","裝樣(羊)"
"蛀蟲鑽空大樹心"," 暗裏使壞"
"啄木鳥飛上黃蓮樹"," 自討苦吃"
"不搭棚的葡萄"," 沒有架子；不擺架子"
"瞎子吃黃瓜"," 不分老嫩"
"新上市的黃瓜"," 帶刺"
"醃蘿蔔拌黃瓜"," 都閑(鹹)著"
"一口咬瞭黃瓜蒂","苦"
"扳著爐子烤頭發","瞭(燎)不得"
"扳倒葫蘆灑瞭油","一不做，二不休"
"扳倒碓窩嚇婆婆","潑婦"
"拜旨走進呂祖廟","走錯門瞭;找錯瞭門"
"拜年的嘴巴","盡說好話"
"拜把子兄弟開繭店","結黨營私(絲)"
"賜竹的脾氣","一點就炸"
"抱著機器人親嘴","你有情他無意"
"抱著枕頭跳舞","自得其樂"
"半天雲裏翻筋鬥","終久要落地"
"半天打不齣噴嚏來","難受"
"半天雲裏跑馬","露馬腳"
"高山上敲鼓","四麵聞名(鳴)"
"釘頭碰釘子","硬碰硬"
"菜刀切豆腐","兩麵光"
"竹筍齣土","節節高"
"草把做燈","粗心(芯)"
"矮子爬坡","步步高升；步步登高"
"矮子爬樓梯","巴不得(迫切盼望)"
"矮子裏麵拔將軍","將就材料；短中取長"
"矮子看戲","聽聲"
"矮子過河","安(淹)心"
"矮子觀光","隨聲附和"
"矮子放屁","低聲下氣"
"矮子放風箏","節節高；節節上升"
"矮子打狼","光喊不上"
"矮子穿高跟鞋","高也有限"
"矮梯子上高房","搭不上言(簷)"
"挨著火爐吃海椒(辣椒〕","裏外發燒"
"挨瞭霜的狗尾巴草","蔫瞭"
"挨瞭刀的皮球","癟瞭"
"挨瞭刀的肥豬","不怕開水燙"
"挨瞭打的鴨子","亂竄"
"挨瞭棒的狗","氣急敗壞"
"挨瞭巴掌賠不是","奴顔媚骨"
"挨刀的鴨子","亂竄"
"挨打的烏龜","縮脖子啦"
"挨打的狗去咬雞","拿彆人齣氣"
"挨鞭子不挨棍子","吃軟不吃硬"
"阿慶嫂倒茶","滴水不漏；點滴不漏"
"阿婆留鬍子","反常"
"阿哥吃麵","瞎抓"
"阿二滿街串","吊兒郎當"
"阿二當郎中","沒人敢請"
"阿二吹笙","濫竽充數"
"阿鬥式的人物","沒能耐"
"阿鬥的江山","白送"
"鼻頭上耍木偶","麵上人"
"鼻頭上抹蜂糖","乾饞撈不著"
"鼻頭上掛糞桶","不知香臭；聞不著香臭"
"鼻頭上長犄角","齣格"
"闆凳上玩麻將","扒拉不開；打不開場麵"
"闆凳上睡覺","難翻身；翻不瞭身"
"闆凳上擱蒺藜","坐不穩；坐不住"
"闆凳上放雞蛋","好險；冒險；危險；靠不住；不可靠"
"闆凳倒立","四腳朝天"
"闆凳上鑽窟窿","有闆眼；有闆有眼"
"闆斧劈柴","一麵砍"
"到瞭山頂想上天","貪得無厭"
"到瞭火車站","鬼(軌)多"
"到瞭黃山想泰山","這山望著那山高"
"到火神廟求雨","找錯瞭門"
"搗蒜槌子打鼓","懂(鼕)"
"搗蒜剝蔥","各管一工"
"倒爺發傢","不義之財"
"倒瓤的鼕瓜","一肚子壞水"
"倒騎毛爐","往後瞧"
"倒瞭油瓶不扶","袖手旁觀；懶到傢瞭"
"倒糠拍籮","一點不留"
"倒糞倒齣耙齒","又臭又硬；臭硬"
"倒吊的臘鴨","一嘴油"
"不齣雞的雞子兒","壞蛋"
"百貨店裏賣鞋襪","各有尺碼"
"百貨大樓賣西裝","一套一套的"
"不吃羊肉羊膻臭","自背臭名"
"不長毛的傢雀","飛不瞭"
"不挨皮鞭挨磚頭","吃硬不吃軟"
"逼楚霸王尋死","心理戰術"
"逼齣來的口哄","信不得"
"崩瞭群的馬","四處逃散"
"笨賊偷法官","自投羅網"
"暴雨前的閃電","大發雷霆"
"暴風雨中的航船","頂風破浪"
"鮑叔識管仲","知心"
"豹子進山","渾身是膽"
"豹子吃馬鹿","好大的胃口"
"抱黃連敲門","苦到傢瞭"
"報紙上的社論","句句講真理"
"報時的雄雞","不用催"
"逼人跳海","害人不淺"
"逼公雞下蛋","故意刁難；有意為難；辦不到；沒法辦"
"跋腳馬上戰場","有死無活"
"逼楚霸王尋死","心理戰術"
"逼齣來的口哄","信不得"
"崩瞭群的馬","四處逃散"
"笨賊偷法官","自投羅網"
"笨鴨子","上不瞭架"
"笨牛吃麻雀","不好捉弄"
"笨驢子過橋","步步難"
"笨姑娘納鞋底","坑坑窪窪"
"笨狗攆兔子","不沾邊；沾不上邊"
"跋子趕馬","望塵莫及"
"跋子打圍","坐著喊；坐地呐喊"
"跋子踩高蹺","早晚有他的好看"
"跋子拔蘿蔔","歪扯"
"跋腳馬上戰場","有死無活"
"跋腳驢子追兔子","趕不上；攆不上"
"跋子上颱","立場不穩"
"雨天打土坯","沒好的"
"幼狗不吃屎","沒事找事"
"液水鍋煮壽星","老熟人"
"嚮聾子吹笛","白費功夫；白費勁；枉費工"
"鹹魚下水","假新鮮"
"鹹魚落塘","不知死活"
"鹹肉裏加醬油","多此一舉"
"鹹雞蛋","老醃(淹)哪"
"鹹菜煮豆腐","不必多言(鹽)"
"鹹菜缸裏養白螺","難養活"
"鹹菜拌豆腐","哪還用言(鹽)"
"下鍋的蝦子","紅透瞭，還想跳幾下"
"捂著錢包捉賊","多加一份小心"
"捂著屁股過河","小心過度(渡)"
"裁縫的頂針","當真(針)"
"教師漲工資","空調"
"布袋裏買貓","不知底細"
"變戲法的亮手帕","不藏不掖"
"變戲法的打鑼","虛張聲勢"
"變戲法的本領","全憑手快"
"花椒水洗臉","麻痹(皮)"
"花椒樹","渾身是刺"
"花椒炒生薑","又麻又辣"
"花匠捧仙人球","紮手"
"花架下養雞鴨","煞風景"
"花和尚穿針鼻","大眼瞪小眼"
"花果山上沒外姓","一窩孫"
"花果山的猴子","無法無天"
"花骨朵碰在屠刀上","心碎"
"花公雞的尾巴","翹得高"
"花崗岩做招牌","牌子硬"
"花崗岩下油鍋","紮實(炸石)"
"護城河的王八","混年號"
"虎口裏的人","生死未定"
"虎伴羊睡","靠不住"
"蝴蝶群舞","花花世界"
"糊塗廟裏糊塗神","糊塗到一塊瞭"
"糊塗老婆","亂當傢"
"葫蘆下水","吞吞吐吐"
"糊塗官判案","是非不清"
"葫蘆頭爬層脊","兩邊滾"
"病貓的尾巴","翹不起來"
"病好郎中到","晚瞭；遲瞭"
"病好打郎中","恩將仇報"
"變戲法的亮手帕","不藏不掖"
"變戲法的打鑼","虛張聲勢"
"變戲法的本領","全憑手快"
"馬後炮","弄的遲瞭"
"馬蜂針，蠍子尾","惹不起"
"馬蜂蜇禿子","沒遮沒蓋"
"馬蜂窩","捅不得"
"馬蜂過河","帶(歹)毒"
"馬大哈當會計","全是糊塗帳"
"馬打架","看題(蹄)"
"馬槽裏的蒼蠅","混飯吃"
"馬背上看書","走著瞧"
"麻子照相","臉上不好看"
"麻子跳傘","天花亂墜"
"麻子敲門","坑人到傢瞭"
"麻子管事","點子多"
"麻子的臉","盡是缺點"
"麻子不叫麻子","坑人"
"棒槌裏插針","粗中有細"
"棒槌進城","成精作怪"
"棒槌改蠟燭","粗心"
"棒槌當針","粗細不分"
"棒槌打缸","四分五裂"
"棒槌吹火","一竅不通"
"被埋沒的陶俑","永無齣頭之日；難齣頭"
"被獵人追趕的金鹿","慌裏慌張"
"被蟲子咬過的果實","未老先衰"
"背著娃娃推磨","添人不添勁"
"背著梯子罵街","發賊橫"
"背著瑣呐坐飛機","吹上天瞭"
"沒牙老婆啃骨頭","靠舔"
"沒弦的琵琶","從哪兒彈(談)起"
"帽沿兒做鞋墊兒","貶到底"
"冒名頂替","以假亂真"
"茅坑裏放玫瑰花","顯不齣香味"
"茅坑裏丟炸彈","激起公憤(糞)"
"茅坑裏的石頭","又臭又硬"
"茅坑裏的孔雀","臭美"
"茅坑裏的大糞蛆","死(屎)裏求生"
"斑鴆打架","賣弄風流"
"斑馬的腦袋","頭頭是道"
"斑鳩抱窩","懸蛋"
"班房裏的衙役","聽差的"
"扳著指頭算帳","有數"
"扳著爐子烤頭發","瞭(燎)不得"
"按雞頭啄米","白費心機"
"按方抓藥","照辦"
"按彩球的乞丐","高興得發傻"
"按彆人的腳碼買鞋","生搬硬套"
"半空中數指頭","算得高"
"半空中騎馬","騰雲駕霧"
"半空中掛蒺藜","諷(風)刺"
"半空中趕牲口","露馬腳"
"半空中蓋房子","沒處落腳；落不得腳"
"把臉裝進褲擋裏","見不得人"
"把肥料澆到莠草上","勞而無功；有勞無功"
"把鼻涕往臉上抹","自找難看"
"白糖嘴巴刀子心","口蜜腹劍"
"白糖包砒霜","毒在裏麵"
"白素貞不捨許仙","恩愛難分"
"白毛烏鴉","與眾不同"
"白貓鑽竈坑","自己給自己抹黑"
"白瞭尾巴尖的狐狸","老奸巨猾"
"白臉狼戴眼鏡","冒充好人；充好人"
"白臉狼戴草帽","變不瞭人"
"白臉奸臣齣場","惡相；惡模樣"
"鼻孔裏的汗毛","瞭(燎)不得"
"鼻孔裏長瘤子","氣不順"
"鼻孔喝水","夠嗆"
"爆竹脾氣","一點就著；點火就著"
"爆竹店裏夫人","熱鬧；自作自受"
"爆米花沏茶","泡湯瞭"
"脖子上圍裹腳布","臭瞭一圈子"
"脖子上掛雷管","太懸乎"
"脖頸上拴頭驢","不是正莊(樁)"
"剝皮的樹","不長"
"剝皮的青藤","一絲不掛"
"剝瞭皮的蛤蟆","臨死還要跳三跳"
"扳著指頭算帳","有數"
"扳著爐子烤頭發","瞭(燎)不得"
"扳倒葫蘆灑瞭油","一不做，二不休"
"扳倒碓窩嚇婆婆","潑婦"
"扳不倒坐到燒餅上","麵上人"
"扳不倒騎兔子","不穩當；不穩"
"白蠟杆子翻場","獨挑"
"白蠟杆結桂花","根子不正"
"白開水畫畫","輕(清)描淡寫"
"敗將收殘兵","重整旗鼓"
"敗傢子迴頭","金不換"
"柏油燙豬頭","連根拔"
"百裏奚飼牛拜相","人不可貌相"
"百裏奚認妻","位高不忘舊情"
"百裏草原一人傢","孤孤單單"
"百斤重擔能上肩，一兩筆杆提不動","大老粗"
"百斤麵蒸壽桃","廢物點心"
"百斤擔子加鐵砣","重任在肩；肩負重任"
"強盜發善心","難得一迴"
"欠債還錢","理所當然"
"欠債不還","放賴"
"被蟲子咬過的果實","未老先衰"
"背著娃娃推磨","添人不添勁"
"背著梯子罵街","發賊橫"
"黑頭演花旦","一變瞭角色"
"黑天過河","不知深淺"
"黑毛烏鴉","不足為奇"
"扁擔倒瞭也認不齣來","一字不識"
"扁擔打跟頭","先一頭落地"
"扁擔衝水","牌子很大"
"背人偷酒喝","冷暖自己知"
"背菩薩下河","淘神"
"背門闆上街","好大的牌子"
"保險櫃裏安雷管","暗藏殺機"
"保險櫃掛大鎖","萬無一失"
"飽帶乾糧晴帶傘","有備無患"
"盆子裏擺山水","假景"
"盆子裏擺雞蛋","不數的幾個"
"噴火器的脾氣","張口就發火"
"半夜敲門心不驚","問心無愧"
"半夜起來穿衣服","為時過早"
"半夜聊天","瞎說"
"白菜燴豆腐","誰也不沾誰的光"
"白菜地裏耍鐮刀","散瞭心"
"白菜幫子","中看不中吃；好看不好吃"
"跋子上颱","立場不穩"
"跋子趕馬","望塵莫及"
"跋子打圍","坐著喊；坐地呐喊"
"屋簷下掛豬膽","苦水滴滴"
"屋簷下躲雨","不長久"
"屋簷邊的水","點滴不離窩"
"青蛙鑽蛇洞","自尋死路"
"青蛙笑蝌蚪","忘瞭自己從哪來瞭"
"青蛙望玉兔","有天地之彆"
"青蛙談戀愛","吵鬧不休"
"青蛙拴在鞭梢上","不值摔打"
"青蛙求偶","大聲叫喊"
"雹子砸瞭棉花棵","光杆司令"
"苞榖麵糊","沒多大油水；油水不大"
"苞榖棒子生蟲","專(鑽)心"
"百丈高竿掛紅燈","紅到頂瞭"
"百萬雄師下江南","興師動眾"
"百歲公公吹火","老氣"
"門檻下的磚頭","踢進踢齣"
"門檻上拉屎","裏外臭"
"門後麵的掃帚","專揀髒事做"
"白鐵斧頭","兩麵光"
"白天捉鬼","沒影兒的事"
"白天照電簡","多此一舉"
"白天盼月亮","甭想；莫想；休想"
"白天打燈籠","白搭"
"白糖嘴巴刀子心","口蜜腹劍"
"抱著鐵耙子親嘴","自找釘子碰"
"抱著石頭跳深淵","死不迴頭"
"抱著錢匣子睡覺","財迷心竅；財迷"
"報國寺裏賣駱駝","沒有那個事(寺)"
"保險櫃裏安雷管","暗藏殺機"
"保險櫃掛大鎖","萬無一失"
"飽帶乾糧晴帶傘","有備無患"
"寶塔頂上的寶葫蘆","尖上拔尖"
"寶囊裏取物","手到擒來"
"狐狸的尾巴","藏不住"
"狐狸戴草帽","不算人；不是人"
"狐狸打馬蜂","不知道厲害"
"騎馬過鬧市","豈有此理"
"騎馬過獨木橋","迴頭難"
"騎馬不帶鞭子","拍馬屁"
"半天雲裏拉傢常","空談"
"半天雲裏看廝殺","袖手旁觀"
"半天雲裏翻帳簿","算得高"
"你做生意我教書","人各有誌"
"你有駿馬我有金鞍","配得起你"
"你有秤杆我有砣","配得起你"
"八仙桌上放燈盞","明擺著"
"八字不見一撇","沒眉目；差得遠；差遠瞭"
"八隻腳的螃蟹","橫行霸道"
"八月十五種花生","瞎指揮"
"八月十五蒸年糕","趁早(棗)"
"八月十五雲遮月","掃興"
"八月十五送月餅","趕在節上"
"八月十五生孩子","趕巧瞭"
"八月十五看龍燈","晚瞭大半年"
"八月十五過端陽","晚瞭；遲瞭"
"八月十五的月亮","年年都一樣；正大光明"
"八月十五的月餅","人人歡喜；個個喜愛；上下有"
"八月十五吃粽子","不是時候"
"八月十五吃元宵","與眾不同"
"八月十五吃年飯","還早哩"
"八月裏的黃瓜棚","空架子"
"八月桂花開","到處飄香"
"八月的柿子","越老越紅；老來紅"
"八月的石榴","滿腦袋的點子"
"八月的蓮藕","又鮮又嫩"
"八月的苦瓜","心裏紅"
"老牛走路","不慌不忙"
"老牛走老路","照舊"
"老牛追兔子","有勁使不上"
"歪嘴婆婆喝湯","左喝右喝"
"歪嘴婆娘跌跤","上錯下也錯"
"歪嘴佬吹喇叭","調子不正"
"溫水煮闆栗","半生不熟"
"溫水燙雞毛","難扯"
"溫水燴餅子","皮熱心涼"
"玻璃鋪的傢當","不堪一擊"
"玻璃瓶子裝開水","三分鍾的熱勁"
"玻璃瓶裝金魚","一眼看透"
"背後作揖","反禮"
"背後拉弓","暗箭傷人"
"背後掛鬍琴","拉不著"
"蓋瞭三年的破被","老套子"
"蓋瞭九床被子做美夢","想不透"
"蓋房請來箍桶匠","找錯瞭人"
"百貨店裏賣鞋襪","各有尺碼"
"百貨大樓賣西裝","一套一套的"
"百川歸海","大勢所趨"
"捏著拳頭過日子","心裏憋氣"
"捏著鼻子唱戲","悶腔"
"捏著鼻尖兒做夢","不成"
"捏住鼻子過日子","不聞香臭"
"捏死手中鳥","輕而易舉，容易得很"
"捏鼻子捂嘴巴","不聞不問"
"抱著木棍推磨","死轉圈兒"
"抱著蠟燭取暖","無濟於事"
"抱著金磚挨餓","活該"
"甘蔗林裏種香瓜","從頭甜到腳"
"甘蔗地裏栽蔥","比人傢矮一截"
"甘蔗地裏長草","荒唐(糖)"
"蚊子唱小麯兒","要叮人"
"蚊叮菩薩","認錯瞭人"
"蚊打哈欠","口氣不小"
"鹹雞蛋","老醃(淹)哪"
"鹹菜煮豆腐","不必多言(鹽)"
"鹹菜缸裏養白螺","難養活"
"屬竹子的","心虛"
"屬豬的","吃肉的貨；能吃能睡"
"屬芝麻的","不打不齣油"
"火燒鬍子","練(煉)嘴"
"火燒猴屁股","團團轉"
"火燒寒暑錶","直綫上升"
"活魚掉進醋缸","肉爛骨頭酥"
"活人跳進滾水裏","不死扒層皮"
"活剝兔子","扯皮"
"灰堆燒山藥","混書蛋"
"灰堆吹喇叭","烏煙瘴氣"
"黃忠上陣","老當益壯"
"爛泥裏打樁子","越打越下"
"爛木頭做大梁","不好用"
"爛木頭刻章","不是這塊料"
"跋子上颱","立場不穩"
"跋子趕馬","望塵莫及"
"跋子打圍","坐著喊；坐地呐喊"
"腦袋上刷漿糊","糊塗到頂"
"腦袋上頂鍋巴","犯(飯)人"
"腦袋上戴犁頭","又奸(尖)又猾(滑)"
"腦殼上穿襪子","不是角(腳)"
"腦殼上安電扇","齣風頭"
"腦瓜上套襪子","能齣角(腳)瞭"
"強盜照鏡子","賊頭賊腦"
"強盜碰著賊爺爺","黑吃黑"
"強盜發善心","難得一迴"
"乞丐跳舞","窮快活"
"乞丐說相聲","耍貧嘴"
"乞丐扭秧歌","窮快活"
"棋盤中的子兒","撚一下，動一步"
"棋盤上的士象","不離將"
"棋盤裏的老將","齣不瞭格"
"老方丈打拳","齣手不凡"
"老兒子娶媳婦","大事完畢"
"老包斷案","臉黑心不黑"
"懶木匠的鋸子","不錯(挫)"
"懶驢子駕轅","不打不走"
"懶驢上磨","屎尿多"
"鹹雞蛋","老醃(淹)哪"
"鹹菜煮豆腐","不必多言(鹽)"
"鹹菜缸裏養白螺","難養活"
"蝸牛賽跑","慢慢爬"
"蝸牛殼裏睡覺","難翻身"
"蝸牛赴宴","不速之客"
"夢裏講的話","不知是真是假"
"夢裏見黃連","想苦瞭"
"夢裏過媳婦","想得很美"
"拉著虎尾喊救命","自己找死"
"拉著何仙姑叫舅媽","五百年前是一傢"
"拉屎拉到鞋跟兒裏","提不得"
"爛掃帚上市","分文不值"
"爛肉喂蒼蠅","投其所好"
"爛泥土下窯","燒不成個東西"
"腦殼上穿襪子","不是角(腳)"
"腦殼上安電扇","齣風頭"
"腦瓜上套襪子","能齣角(腳)瞭"
"南天門上打傘","跳邪氣"
"南天門上唱戲","沒聲沒影"
"南天門的旗杆","光棍一條"
"把人趕到牆根下","走投無路"
"把臉裝進褲擋裏","見不得人"
"把肥料澆到莠草上","勞而無功；有勞無功"
"火車頭拉縴","獨齣心裁"
"火車上演戲","載歌載舞"
"火車上馬路","齣軌；越軌"
"老太太打嗬欠","一望無涯(牙)"
"老太太打補丁","窮揍閤"
"老太太吃糖","越扯越長"
"狸貓裝貓叫","想投機(偷雞)"
"狸貓換太子","以假充真"
"狸貓耳朵","太短"
"冷血動物","無情無義"
"冷水褪雞","一毛不拔"
"冷水泡茶","無味"
"胖子穿小褂","不閤身"
"胖婆娘過窄門","門當(擋)戶對"
"胖大海掉進黃連水","苦水裏泡大的"
"路口挖陷井","坑害人"
"路邊撿私生子","非親非故"
"路邊的鼓","挨打的貨"
"樓闆搭鋪","高低差不多"
"婁阿鼠走路","賊頭賊腦"
"婁阿鼠的十五貫","偷來的"
"兩個啞巴睡一起","不談，無話可說"
"兩個啞巴親嘴","好得沒話說"
"兩個啞巴見麵","沒說的"
"玻璃瓶裝寶物","一眼看透；一眼看穿"
"玻璃筷子夾涼粉","光對光"
"玻璃鏡上的人兒","有影無蹤"
"鞭杆當笛吹","沒心眼"
"鞭打死鳥","勞而無功；有勞無功"
"鞭打韆裏駒","快馬加鞭"
"剝皮的樹","不長"
"剝皮的青藤","一絲不掛"
"剝瞭皮的蛤蟆","臨死還要跳三跳"
"抱著木棍推磨","死轉圈兒"
"抱著蠟燭取暖","無濟於事"
"抱著金磚挨餓","活該"
"娃娃騎木馬","不進不退"
"娃娃看魔術","莫明其妙"
"娃娃逗妹妹","嘻嘻哈哈"
"鼻梁上推小車","走投(頭)無路"
"鼻梁上掛鑰匙","開口"
"鼻梁上掛眼鏡","四平八穩"
"白骨精演說","妖言惑眾"
"白骨精送飯","有野心；沒安好心"
"白骨精說人話","妖言惑眾"
"喝瞭禦酒","有功之臣"
"喝瞭五味湯","啥滋味都有"
"喝瞭燒酒烤火","渾身發熱"
"和尚不吃豆腐","怪哉(齋)"
"和尚彆發卡","調(挑)皮"
"和尚拜堂","外行"
"紅漆糞缸","臭講究"
"紅娘牽綫","成人之美"
