"龐統當知縣","大材小用"
"紅娘挨打","成全好事"
"老母豬吃碗碴","滿嘴是詞(瓷)"
"老母豬吃鐵餅","好硬的嘴"
"老母雞上樹","冒充英雄(鷹凶)"
"給神主剃頭","羞(修)先人"
"給老虎醫病","提心吊膽"
"給刺兒頭理發","難題(剃)"
"京戲走颱步","慢慢挪"
"浸水的木魚","敲不響"
"浸濕的木頭","點不起火"
"關公賣豆腐","人強貨不硬"
"關公流鼻血","紅上加紅"
"關公開刀鋪","貨真價實"
"隔年的雞子兒","壞蛋"
"隔年的黃豆","不進油鹽；油鹽不進"
"隔年的春聯","沒用處；無用；沒得用"
"扮秦檜的沒卸裝","誰沒見過那二花臉"
"半夜做夢娶新娘","盡想好事；想得倒美"
"半夜做夢啃豬蹄","盡想好事；想得倒美"
"高山頭種辣椒","紅到頂瞭"
"高山上滾石頭","永不迴頭"
"高山上的雪蓮","一塵不染"
"黃鱔上沙灘","不死一身殘"
"黃鱔爬犁頭","狡滑(絞鏵)"
"黃牛咬黃連","吃苦耐勞"
"潘金蓮敬酒","醜話說在前"
"潘金蓮給武鬆敬酒","不懷好意"
"潘金蓮熬藥","暗地裏放毒"
"對著鏡子說話","自言自語"
"對著鏡子扮鬼臉","醜化自己"
"對著棺材許願","哄死人"
"幼狗不吃屎","沒事找事"
"輾轉沒有軸","玩不轉"
"鹹肉裏加醬油","多此一舉"
"木匠拉大鋸","有來有去"
"木匠刨木料","有尺寸"
"木匠推刨子","直來直去"
"頂著娃娃騎驢","多此一舉"
"頂頭上長眼睛","目中無人"
"頂大風過獨木橋","擔風險"
"頂風撐船","上勁；劃不來"
"頂石頭上山","多此一舉"
"頂刀子求雨","豁齣命來"
"馬尾巴提豆腐","串不起來"
"馬勺碰鍋沿","常有的事"
"馬勺裏的蒼蠅","混飯吃"
"落雨天打麥","難收場"
"麻袋裏裝豬","不知黑白"
"麻布下水","擰不乾"
"麻布片綉花","白費勁"
"麻包裏裝釘子","露頭"
"麻布袋綉花","底子太差"
"梁山上的晁蓋","一把手"
"梁山上的王倫","妒賢忌能"
"梁山上的好漢","逼齣來的"
"黃河裏的水","說不清；難清"
"黃瓜敲木鍾","一聲不響"
"黃瓜拉秧","塌子架"
"化裝錶演","改頭換麵"
"華佗行醫","名不虛傳"
"化濃的癤子","不攻自破"
"狸貓耳朵","太短"
"冷水褪雞","一毛不拔"
"冷水泡茶","無味"
"鏡子上的人兒","挺光滑的"
"鏡子裏罵人","自罵自"
"鏡子裏的餅","不能充飢"
"冰淩當拐杖","靠不住；不可靠"
"冰精蒸荔枝","甜透瞭"
"冰窖裏嬉耍","冷笑"
"賣瞭衣服買酒喝","顧嘴不顧身"
"賣瞭兒子招女婿","顛倒著做，瞎摺騰"
"賣瞭大褂買褲衩","短得見不瞭人"
"白日見鬼","玄乎；心裏有病"
"白娘子水漫金山","大動乾戈"
"白娘子鬥法海","精打光"
"半籃子喜鵲","唧唧喳喳"
"半路上的新聞","道聽途說"
"半路開小差","有始無終"
"老虎嘴塞螞蚱","填不滿"
"老會計撥算盤","精打細算"
"老驢拉磨","瞎轉圈"
"老驢子打滾","翻不過身來"
"老綿羊攆狼","拼啦"
"老貓守鼠洞","蹲著瞧"
"剛逮住的鯉魚","亂蹦亂跳"
"剛齣土的黃連","苦苗苗"
"剛齣水的蝦子","活蹦亂跳"
"鋼闆上釘釘","硬過硬"
"鋼針屁股上的眼","隻認衣衫不認人"
"鋼刀落肚","割心腸"
"屬兔子的","一蹦三尺高"
"屬煙袋鍋的","一頭熱乎"
"屬鴨子的","嘴硬心熱"
"屬豬的","吃肉的貨；能吃能睡"
"屬芝麻的","不打不齣油"
"屬竹子的","心虛"
"背著哈哈鏡走路","不怕後人見笑"
"背著黑鍋做人","直不起腰；伸不起腰"
"背著棺材上戰場","往最壞處想"
"背著糞簍滿街串","找死(屎)；尋死(屎)"
"背著糞筐上銀行","臭錢"
"背著醋罐子討飯","窮酸"
"鞭打韆裏駒","快馬加鞭"
"鞭打快牛","忍辱負重"
"馬拉獨輪車","就翻"
"馬來西亞的咖啡","耐人尋味"
"馬撩後腿","逞強"
"菩薩的鬍須","人造的"
"菩薩的心腸","軟的"
"菩薩坐冷廟","孤苦伶仃"
"葡萄架下乘涼","舒適"
"七擒孟獲","叫他口服心服"
"七八月的南瓜","皮老心不老"
"拿著算盤串門","找仗(帳)打"
"拿著掃帚上杏樹","招杏(興)"
"拿著虎皮當衣裳","嚇唬人"
"泥人的肚腹","毫無心肝"
"泥娃娃的嘴","總是笑嗬嗬的"
"泥做的菩薩","全靠貼金"
"泥瓦匠砌牆","兩麵三刀"
"泥瓦匠齣身","和稀泥"
"泥鰍上沙灘","不怕你滑"
"屬麻花的","擰著勁兒"
"屬耗子的","齣門兒就忘"
"屬猴兒的","見圈就鑽"
"浸瞭水的爆竹","一聲不響"
"浸水的木魚","敲不響"
"浸濕的木頭","點不起火"
"木頭人救人","自身難保"
"木偶打架","身不由己"
"木偶唱戲","任人擺布"
"騎馬不帶鞭子","拍馬屁"
"騎馬上天山","迴頭見高低"
"騎馬過獨木橋","迴頭難"
"乞丐說相聲","耍貧嘴"
"乞丐扭秧歌","窮快活"
"乞丐進發廊","沒人理"
"黑瞎子坐月子","嚇(下)熊瞭"
"看到草繩往後跑","膽子太小"
"看戲挑媳婦","一頭滿意"
"瞌睡送個枕頭","正是時候"
"糠瞭的蘿蔔","沒有辣氣"
"看羊的狗","一個比一個凶"
"黑瞎子坐轎","沒人抬舉"
"黑瞎子鑽竈筒","難過"
"黑瞎子跳井","熊到底瞭"
"黑瞎子捧刺蝟","碰到棘手事；棘手"
"黑瞎子扭身","大反撲"
"黑瞎子舉韆斤鼎","身大力不虧"
"黑瞎子叫門","熊到傢瞭"
"黑瞎子打立正","一手遮天"
"黑瞎子打花臉","熊樣"
"半路上丟算盤","失算瞭"
"半空中蓋房子","沒處落腳；落不得腳"
"半空中放爆竹","想(響)得高"
"皇帝剃光頭","不要王法(發)"
"皇帝老爺發酒瘋","咋說咋有理"
"皇帝打架","爭天下"
"籠裏的鸚哥","成天耍嘴"
"聾子看戲","有也當無"
"聾子對話","各說各的"
"皇帝的交椅","至高無上"
"皇帝補皮鞋","難逢(縫)"
"皇帝齣宮","前呼後擁"
"聾子打鈴","充耳不聞"
"聾子打翻瞭啞巴的油","說不清楚"
"聾子不怕雷","膽子大"
"關公戰秦瓊","亂瞭朝代；挨不上"
"關公在曹營","心不在焉"
"關公流鼻血","紅上加紅"
"抱著金磚挨餓","活該"
"抱著黃連做生意","苦心經營"
"抱著葫蘆不開瓢","死腦筋"
"閉著眼睛鼓風","瞎吹"
"閉著眼睛走南牆","瞎碰"
"閉著眼睛走路","淨想歪道兒"
"閉著眼睛哼麯子","心裏有譜"
"閉著眼睛訓話","瞎說"
"閉著眼睛跳舞","盲目樂觀"
"耗子打鞦韆","頭朝下"
"耗子打洞","找門路"
"耗子齣洞","準沒好事"
"耗子啃碟子","滿嘴詞(瓷)"
"耗子啃菜刀","死路一條"
"耗子看糧倉","監守自盜"
"冰淩調豆腐","難辦(拌)"
"冰庫裏點蠟","洞(凍)房花燭"
"冰精蒸荔枝","甜透瞭"
"賈傢姑娘嫁賈傢","假(賈)門假事(賈氏)"
"賈府門前的獅子","死(石)心眼兒"
"賈寶玉看《西廂記》","戲中有戲"
"賈寶玉結婚","不是心上人"
"賈寶玉的通靈玉","命根子"
"賈寶玉齣傢","看破戲塵"
"被窩裏捉跳蚤","瞎抓"
"被窩裏伸齣一隻腳","你算老幾"
"被窩裏磨牙","懷恨在心"
"狐狸騎老虎","狐假虎威"
"狐狸看雞","越看越稀"
"狐狸進宅院","來者不善"
"風吹麥苗","一邊倒"
"風口上點油燈","吹瞭"
"風中鵝毛","無影無蹤"
"磨道裏的驢","轉圈子"
"棉花堆失火","沒救"
"蜜蜂的屁股","刺兒頭"
"米篩裏睡覺","渾身是眼"
"密封罐頭","無縫可鑽"
"米湯洗頭","糊塗到頂"
"八月十五吃年飯","還早哩"
"八月十五雲遮月","掃興"
"八月十五生孩子","趕巧瞭"
"八十歲玩猴子","老把戲"
"八十歲沒兒女","老來孤單"
"八十歲颳鬍子","不服老"
"寡婦進當鋪","要人沒人，要錢沒錢"
"寡婦賣孩子","最後一著"
"寡婦上墳","哭天抹淚"
"娃娃看戲","歡天喜地"
"拐子追馬","望塵莫及"
"拐杖吹火","一竅不通"
"白鐵斧頭","兩麵光"
"白天照電簡","多此一舉"
"白糖嘴巴刀子心","口蜜腹劍"
"白水做飯","無米之炊"
"白糖包砒霜","毒在裏麵"
"白水下石膏","成不瞭豆腐"
"鹹魚落塘","不知死活"
"液水鍋煮壽星","老熟人"
"幼狗不吃屎","沒事找事"
"抱著香爐打噴嚏","觸一鼻子灰"
"抱著鐵耙子親嘴","自找釘子碰"
"抱著石頭跳深淵","死不迴頭"
"鼻子上抹黃連","苦在眼前"
"鼻子上冒煙","急在眼前"
"鼻子上掛肉","油嘴滑舌"
"白素貞不捨許仙","恩愛難分"
"巴掌長瘡","毒手"
"八月十五送月餅","趕在節上"
"錢塘江漲潮","大起大落"
"下雪天走路","一步一個腳印"
"裁縫乾活","忘不瞭吃(尺)"
"八月十五蒸年糕","趁早(棗)"
"下雪天走路","一步一個腳印"
"瘸子走山路","東倒西歪"
"老鼠跌進米囤裏 "," 因禍得福"
"老鼠挨一百棒 "," 麵不改色"
"老鼠吃貓 "," 怪事"
"八十老翁練琵琶","老生常談(彈)"
"八股文的格式","韆篇一律"
"八寸腳穿七寸鞋","彆彆扭扭"
"擀麵杖升雲天","誹謗(飛棒)"
"八個老漢劃拳","三令五申(伸)"
"朝廷的太監","後繼無人"
"柴火上澆汽油","一點就著"
"土地爺管龍王","以上壓下"
"看到草繩就喊蛇","大驚小怪"
"牛屁股縫裏的牛蛇蟲","叉會鑽空子，又會吸血"
"我小青蛙逛大街","綠色齣行"
"地頭蛇，母老虎","不是好惹的"
"打蛇不死打蚯蚓","怯大欺小"
"眼鏡蛇擺手","好毒的一招"
"烏梢蛇住店","常(長)客"
"洞裏的蛇","不知長短"
"蛇鑽竹筒"," 一條路"
"兔子的尾巴","長不瞭：長瞭容易被人揪“辮子”！"
"癩蛤蟆想吃天鵝肉","想得美：不想當將軍的士兵不是好士兵，不想吃天鵝肉的癩蛤蟆不是優秀的癩蛤蟆。"
"狗咬呂洞賓","不識好人心：這事可怨不得狗，好人臉上又沒標記。"
"騎驢看唱本","走著瞧：注意保護視力！"
"豬鼻子裏插蔥","裝象：鼻子裏插跟蔥可不好受，虛榮也是個苦差事。"
"三九天送扇子","不領情"
"三九天不穿棉衣","縮手縮腳"
"三九天穿裙子","美麗凍人"
"三九天喝薑湯","熱心腸"
"三九天吃梅子","寒酸"
"三九天談心","冷言冷語"
"三九天扇扇子","心裏有火"
"骯髒他娘哭骯髒","骯髒死瞭。"
"蝙蝠身上擦雞毛","－你算什麼鳥？"
"大火燒竹林"," 一片光棍；"
"包公騎黑馬","青天在上"
"包公臉上抹黑","乾與不乾一個樣"
"包公臉上留寶墨","無字天書"
"包青天坐牢","不白之冤"
"包公臉上齣闆報","不是這塊料"
"包公赴宴","黑客"
"包公掉進米屯裏","黑白分明"
"包公嚼豆豉","黑吃黑"
"白骨精脹肚子","白內障"
"白骨精搬傢","白居易"
"白骨精說書","白話文"
"白骨精演講","白說"
"白骨精愛唐僧","白糖"
"白骨精領工資","白領。"
"白骨精發呆","白癡。"
"白骨精戰關公","一個唱白臉，一個唱紅臉。"
"白骨精見包公","黑白分明"
"忽必烈給下屬發僕人","陳佩斯(臣配斯)"
"黃河奔流總不息","潘長江(攀長江)"
"黃河奔流總不息","潘長江(攀長江)"
"醃製好的鹹鴨蛋","黃宏(黃紅)"
"沸水衝泡鹽疙瘩","嚴順開(鹽順開)"
"尼姑廟裏隻喂雞","魏積安(喂雞庵)"
"高建築上掛風鈴","婁乃鳴(樓乃鳴)"
"不讓小販有利圖","趙本山(照本刪)"
"不販牛頭和牛身","範偉(販尾)"
"老公公扒灰","晚節不保"
"雞巴插進頭發裏","高聳入雲"
"俏寡婦勾引老公爹","美妙絕倫"
"老闆想吸引屎殼郎","發糞塗牆(發奮圖強)"
"會計瞪算盤框","有眼無珠"
"日本人選舉野田爭島","舉一反三(中、俄、韓)"
"螞蟻結婚請駱駝","高朋滿座"
"佛祖賜書","一本正經"
"老鼠打架沒勝負","鼠不勝鼠(數不勝數)"
"骯髒他娘哭骯髒","骯髒死瞭。"
"蝙蝠身上擦雞毛","－你算什麼鳥？"
"大火燒竹林"," 一片光棍；"
"摸著光頭鬥樂","耍滑頭"
"光著腚捉賊","膽大不害臊"
"閻王爺貼告示","鬼話連篇"
"飛機上分娩","高中生"
"山洪衝石子","不滾也得滾"
"下瞭鍋的掛麵","硬不起來"
"七竅通瞭六竅","一竅不通"
"一分錢買倆判官","賤鬼"
"兒媳婦懷孕","裝孫子"
"瞎子點燈","哪裏不會點哪裏"
"韆裏送鵝毛","運費太高"
"周瑜打黃蓋","打到破頭蓋"
"豬八戒照鏡子","裏外都是你"
"豬鼻子插蔥","感冒流鼻涕瞭"
"豬鼻子插蔥","感冒流鼻涕瞭"
"孫悟空翻筋鬥","摔死瞭"
"啞巴吃黃連","剛纔吃太甜"
"小和尚念經","有顆淫心"
"窗前明月光","窗戶沒關好"
"關公照鏡子","憋到臉紅"
"八仙過海","沒人活著迴來"
"十五個吊桶打水","繩子斷瞭"
"公共廁所仍石頭","濺起公糞"
"井底下寫文章","學問很深"
"孔夫子搬傢","被逼拆遷瞭"
"挨著火爐吃辣椒","頭腦發燒"
"肉包子打狗"," 一個不夠(吃)"
"孫悟空翻筋鬥","摔死瞭"
"薑太公釣魚","貪吃者上鈎"
"薑太公釣魚","貪吃者上鈎"
"王八吃秤砣","噎死瞭"
"趕鴨子上架","準備烤鴨"
"苦水裏泡黃連","以苦攻苦"
"三個臭皮匠","愛上諸葛亮"
"竹筒裏爬長蟲(蛇)","直齣直入"
"竹筒裏跑老鼠","直來直去；直進直齣"
"竹筒敲鼓","空對空"
"竹筒子吹火","隻有一個心眼"
"竹筒子裏看天","一孔之見；所見不廣"
"竹筒子裏塞棉花","空虛"
"竹筒做枕頭","兩頭空；兩落空；空想"
"竹枕頭","空的"
"竹子扁擔挑竹筐","碰上自傢人"
"竹子長杈","節外生枝；橫生枝節"
"竹子當鼓","敲竹杠"
"竹子上結南瓜","怪事一樁；怪事"
"竹子做笛","受不完的氣"
"拄拐棍走泥路","步步有點"
"拄著拐棍下煤窯","倒黴(搗煤)"
"渚葛亮用兵","齣奇製勝；神機妙算；虛虛實實；神齣鬼沒"
"屬扒火棍的","一頭冷來一頭熱"
"屬芭蕉的","葉爛皮乾心不死"
"屬比目魚的","成雙成對"
"屬長蟲(蛇)的","能屈能伸"
"屬臭豆腐的","聞著臭，吃著香"
"屬大肚羅漢的","睜隻眼，閉隻眼"
"屬豆餅的","上擠下壓"
"屬舵鳥的","顧頭不顧尾"
"屬公雞的","好鬥；光叫喚；不下蛋"
"屬狗尾巴的","越摸越翹"
"屬含羞草的","碰不得"
"屬寒號鳥的","得過且過"
"屬豪豬的","渾身是刺"
"屬黑瞎子(狗熊)的","吃飽就睡；光認吃"
"屬濟公的","瘋瘋癲癲"
"屬老母豬的","吃飽就睡"
"屬雷管的","碰不得"
"屬呂布的","有勇無謀"
"屬泥鰍的","圓滑；又圓又滑"
"屬暖水瓶的","外冷裏熱"
"屬螃蟹的","橫行霸(八)道"
"屬炮筒子的","直來直去"
"屬皮球的","踢來踢去"
"屬生薑的","越老越辣"
"屬孫猴的","說變就變；轉眼就變"
"屬烏龜的","縮頭縮腦"
"屬牙膏的","受人排擠；不擠不齣"
"屬張飛的","粗中有細"
"屬珍珠魚的","渾身盡點則"
"屬豬八戒的","好吃懶做"
"煮壞的餃子","露餡瞭"
"煮熟的飯不吃","悶(燜)起來瞭"
"煮熟的鴨子","飛不瞭"
"煮熟的鴨子飛上瞭天","彌天大謊；天下奇聞；怪事一樁"
"苧裏的馬蜂","不是好惹的；惹不起"
"蛀蟲咬黃連","自討苦吃"
"蛀蟲鑽空大樹心","暗裏使壞"
"抓把紅土當硃砂","不識貨"
"抓把硃砂當紅土","裝賤"
"抓地坑溝找豆包吃","沒齣息"
"抓瞭芝麻丟西瓜","主次不分"
"抓起紅土當硃砂","做瞭糊塗事"
"抓住鼓槌子不放手","老敲打"
"抓住荷葉摸到藕","追根求源；追根到底"
"抓住漁船當鞋穿","大手大腳"
"抓住張飛當李逵打","認錯瞭人"
"拽(zhuai拉)著大嫂叫姑姑","拉扯不上"
"拽著鬍子走路","謙虛(牽須)"
"拽著老虎尾巴抖威風","有膽有魄"
"磚頭上釘釘子","過得硬；逗硬"
"磚窯裏起火","謠言(窯煙)"
"磚窯旁邊蓋樓房"," 就地取材"
"莊戶人傢的孩子","土生土長"
"莊稼漢爬梯田","步步高升；步步登高"
"莊稼老不識桂圓","外行"
"莊稼老漢背木掀","揚長(場)而去"
"莊稼老看告示","一片大道理"
"莊稼人種豆子","步步有點"
"莊稼人種五榖","土生土長"
"莊稼人走親戚","實來實去"
"狀元府內吃蟠桃","貴人吃貴物"
"撞網的大頭魚","暈頭轉嚮"
"追擊炮打蚊子","小題大作(比喻把小事當作大事來對待、處理。)"
"錐子藏在鐵盒裏","不露鋒芒"
"錐子上抹油","又尖又滑"
"錐子剃頭","連根拔"
"錐子紮豆腐","不齣白"
"捉瞭虱子跑瞭牛","得不償失"
"捉虱子上頭","自尋煩惱；自找麻煩"
"捉魚攔上遊","先下手"
"捉住驢子當馬騎","不識貨"
"桌上拉屎，臉盆裏撒尿","淨乾缺德事"
"桌子闆凳一樣高","平起平坐"
"桌子底下打拳","齣手不高"
"桌子底下揚場","礙上礙下；碰上碰下"
"桌子光剩四條腿","丟麵子"
"啄木鳥翻跟頭","賣弄花屁股"
"啄木鳥飛上黃蓮樹","自討苦吃"
"啄木鳥上供桌","賣弄自己"
"啄木鳥死在樹洞裏","吃瞭嘴的虧；全壞在嘴上"
"啄木鳥修房子","鬥嘴勁"
"啄木鳥栽跟頭","吃瞭嘴上的虧"
"啄木鳥找食","全憑一張嘴；全憑嘴"
"啄木鳥治樹","人木三分；嘴巴子硬；全仗著嘴硬；全憑嘴"
"著火挨闆子","兩頭熱"
"資料室搬傢","盡是輸(書)；盡輸(書)"
"姊妹倆齣嫁","各人忙各人"
"姊妹找婆傢","各得其所"
"自大加一點","臭"
"自己跟自己下棋","輸也是你贏也是你"
"自己說的聽不見","夢話"
"自己挖坑埋自己","找死"
"自留地裏拉屎","泄私憤(糞)"
"自留地裏撒尿","肥水不落外人田"
"自行車下坡","不睬(踩)"
"自行車下田坎","得過且過"
"走到渡口打轉身","想不過；存心不過瞭"
"走江湖的賣假藥","招搖撞騙"
"走近鬼門關","離死不遠瞭"
"走廊上開鋪","不留餘地"
"走瞭和尚走不瞭廟","盡管放心"
"走路撥算盤","手腳不閑"
"走路換草鞋","喜新厭舊"
"走路看腳印","太小心"
"走路拾饅頭，摔跟頭撿票子","盡想好事；想得倒美"
"走路拾元寶","機會難得；難得的機會"
"走路算賬","財迷轉嚮"
"走路軋斷腿","半途而廢"
"走親戚掂牛蹄","兩半(瓣)子理(禮)"
"走煞金剛坐煞佛","苦樂不均"
"走上步看下步","瞻前顧後"
"走夜路吹口哨","虛張聲勢"
"走一步思三思","考慮周到"
"奏著嗩呐趕毛驢","吹吹拍拍"
"揍雞毛","壯但(裝撣)子"
"祖傳的被單","破爛不堪"
"祖傳的皮襖","裏外孬(nao壞；不好)"
"祖孫迴傢"," 扶老攜幼；返老還童"
"祖宗三代的傢務事","一言難盡"
"祖宗堂裏供菩薩","神齣鬼沒"
"鑽進風箱的耗子","受不完的氣"
"鑽進鳥籠裏的貓","嘴饞上瞭當"
"鑽塔頂上觀景","站得高，看得遠；登高望遠"
"鑽頭上綁針婆(縫衣針)","尖上拔尖"
"鑽頭上加鋼針","好厲害"
"鑽在水道眼裏嘆息","低聲下氣"
"鑽子碰銼子","對頭；死對頭"
"鑽子頭上加鋼針","好厲害"
"攥(zuan握)著金條進棺材","捨命不捨財"
"嘴巴擱在鍋颱上","光等吃"
"嘴巴含鋼針","說話帶刺"
"嘴巴裏藏刀子","齣口傷人"
"嘴巴兩張皮","咋說咋有理"
"嘴巴上掛籠嘴","吃不開"
"嘴巴上掛油瓶","油嘴滑舌"
"嘴巴上抹蜜","說得甜"
"嘴巴一張，看得見肚腸","一貧如洗"
"嘴巴子戲","光說不練"
"嘴邊沒毛","辦事不牢"
"嘴唇上貼膏藥","免開尊口；開不得口"
"嘴裏吃瞭爛豬毛","亂糟糟"
"嘴裏沒味吃鹹魚","正閤胃口"
"嘴裏塞黃連","有苦難訴；有苦說不齣"
"嘴裏吞鏇風","口氣不小"
"嘴裏銜燈草","說得輕巧"
"嘴皮子抹白糖","說得甜"
"嘴請客，手關門","虛情假意"
"嘴上綁喇叭","走到哪兒就吹到哪兒"
"嘴上掛天平","說話有分量"
"嘴上抹石灰","白說；白吃；白刷；白搭"
"嘴上抹豬油","油嘴滑舌"
"嘴上貼封條","沒說的；沒話可說；無話說；悶聲不響；不好開口"
"嘴上貼膏藥","不好開口"
"嘴甜甜，腰裏掛彎鐮","心術不正"
"醉漢過鐵索橋","上晃下搖"
"醉漢上街","東倒西歪"
"醉漢說囈語","難理會"
"醉漢走路","跌跌撞撞"
"左耳朵進，右耳朵齣","耳旁風"
"左話右講","說反話"
"左腳穿著右腳鞋","錯打錯處來"
"左敲鼓，右打鑼","旁敲側擊"
"左手喇叭右手鼓","自吹自擂"
"左手買右手賣","不圖賺錢隻圖快"
"作坊裏的石磨","推一推，動一動"
"作傢的書包","裏麵大有文章"
"作揖抓腳背","一舉兩得"
"坐車不買票","白搭"
"坐等禾苗黃","懶漢"
"坐電梯上樓","不怕(爬)"
"坐飛機抱暖瓶","高水瓶"
"坐飛機打靶","高標準"
"坐飛機打擺子","抖上天瞭"
"坐飛機放廣播","響徹雲霄"
"坐飛機講哲學","高談闊論"
"坐飛機攆(nian追趕)西北風","大齣風頭"
"坐飛機扔相片","丟人不知深淺"
"坐火箭背喇叭","吹上天瞭"
"坐火箭上月球","遠走高飛"
"坐轎打瞌睡","不識抬舉"
"坐轎裏罵人","不識抬舉"
"坐轎悶得慌，騎馬嫌搖晃","有福不會享"
"坐木船打陽傘","沒天沒地"
"坐南宮守北殿 ","不分東西"
"坐上飛機吹喇叭","想(響)得高"
"坐上飛機釣魚","差遠瞭"
"坐在井裏的蛤蟆","硬說天隻有一個碗大"
"坐在錢眼兒裏摸錢邊","財迷心竅"
"坐著火箭登天","直綫上升"
"座山雕做壽","末日來臨"
"做個大褂丈二寬","大搖(腰)大擺"
"做瞭皇帝想成仙","欲無止境"
"做媒人的賠女兒","輸在嘴上"
"做夢被老虎咬傷","虛驚"
"做夢變蝴蝶","想入非非(飛飛)"
"做夢吃扁食(餃子)","想得香"
"做夢吃大餐","高興得流齣口水"
"做夢吃黃連","想得苦"
"做夢吃饅頭","夢裏見麵"
"做夢吃仙桃","想得倒甜"
"做夢當長工","想得苦"
"做夢當皇帝","官迷心竅；好景不長"
"做夢當司令","神氣一時"
"做夢當總統","好事難成"
"做夢掉下井","一場虛驚"
"做夢割破膽","想得苦"
"做夢撿金條","財迷心竅"
"做夢見閻王","鬼迷心竅；死去活來"
"做夢娶媳婦","盡想好事；想得倒美；想偏瞭心；光想美事"
"做夢拾元寶","空歡喜；歡喜不盡；一場空歡喜；想得美"
"做夢推磨子","想轉瞭"
"做夢學吹打","快活一時"
"做夢遊西湖","好景不長"
"做夢抓大印","官迷心竅"
"做夢坐飛機","想人非非(飛飛)"
"做旗袍用土布","不是那塊料"
"做燒餅賣湯圓","多麵手"
"做生意講信譽","理所當然"
"做媳婦的沒婆婆","好當傢"
"做小本生意 ","斤斤計較"
