3,"阿斗 當 皇帝","軟弱 無能"
3,"阿斗 的 江山","白送"
1,"阿奶 抱 孫子","老手"
2,"阿婆 的 鞋","老樣子"
3,"阿婆 留 鬍 子","反常"
1,"阿慶嫂 倒 茶","滴水不漏"
2,"挨 鞭子 不 挨 棍子","吃 軟 不吃 硬"
3,"挨打 的 狗 去 咬 雞","拿別 人 出氣"
3,"挨打 的 山雞","顧頭 不 顧尾"
3,"挨 了 巴掌 賠 不是","奴顏 媚骨"
3,"挨 了 打 的 鴨子","亂 竄"
3,"挨 了 刀 的 肥豬","不怕 開水 燙"
3,"挨 了 刀 的 皮球","癟 了"
3,"挨 了 霜 的 狗尾巴草","蔫 了"
1,"矮子 踩 高蹺","取長 補短"
3,"矮子 穿長 袍","拖拖拉拉"
3,"矮子 打呵欠","氣兒 不長"
3,"矮子 打牆","只有 一半"
3,"矮子 放屁","低聲 下氣"
3,"矮子 看戲","人云亦云"
3,"矮子 面前 說 短話","惹 人 多"
1,"矮子 爬坡","步步高 陞"
3,"矮子 排隊","倒數 第一"
1,"矮子 上樓 梯","步步高 陞"
3,"矮子 推掌","出手 不高"
3,"矮子 坐高凳","上下 搆 不 著 上下 為 難"
1,"愛 吃香 的 有臘腸 愛吃 甜 的 有 蜜糖","對味"
3,"愛打 半邊 鼓","旁 敲 側擊"
3,"愛叫 的 鳥","不 做 窩"
3,"安祿山 起兵","反 了"
2,"岸邊 的 青蛙","一觸 即 跳"
3,"岸上 看人 溺水","見 死 不救"
3,"岸上 撈 月","白費 功夫"
3,"按 老 方子 吃藥","還是 老一套"
2,"按著 葫蘆 挖籽","挖 一個 少 一個"
3,"按著 腦袋 往 火炕 裡鑽","憋 氣窩火"
2,"按著 牛頭 喝水","勉強 不得"
3,"案板 底下 放風箏","飛不起 來"
3,"案板 頂門","管得 寬"
3,"案板 上 的 搟 麵 杖","光棍 一條"
3,"案板 上 的 狗肉","上 不了 席"
3,"案板 上 的 肉","任人宰割"
1,"案板 上 砍 骨頭","乾 乾脆 脆"
3,"暗地 裡耍 拳","瞎 打 一陣"
3,"暗洞裡 裹 腳","瞎 纏"
3,"暗室 裡穿針","難過"
2,"暗鎖 加明鎖","層層 設防"
3,"暗灘 上 行船","危險性 大"
3,"暗屋 裡穿針","難過"
3,"骯 髒 他 娘 哭 一夜","骯 髒 死 啦"
3,"鏊子 上 烙冰","化湯 了"
3,"鏊子 上 烙餅","翻來 覆去"
1,"八磅 大錘 釘 釘子","穩 紮 穩打"
3,"八寶飯裡 撒 鹽巴","又 添 一味"
3,"八十 歲 老太 學 吹打","上氣 不 接下 氣"
3,"八十 歲 奶奶 搽 胭脂","老來 俏"
3,"八哥 啄 柿子","揀 軟 的 欺"
3,"八個 麻雀 抬 轎","擔當 不起"
3,"八個 錢 算命","哪能 包 你 一世"
3,"八股文 的 格式","千篇一律"
1,"八里 莊 的 蘿 蔔","心里美"
1,"八畝 地裡 一棵 谷","就 這一"
3,"八匹 馬 拉 不開","難分 難解"
1,"八千 歲 留 鬍 子","大 主意 個 人 拿"
3,"八十 老太 學 吹打","上氣 不 接下 氣"
3,"八十 老翁 吹喇叭","有氣 無力"
1,"八十 歲 比 高低","老當益 壯"
3,"八十 歲 吹喇叭","壽長 氣短"
3,"八十 歲 的 阿婆","老掉牙 了"
3,"八十 歲 公公 耍 猴子","老把戲"
3,"八十 歲 公公 挑 擔子","心有 餘而力 不足"
3,"八十 歲 考狀元","人 老 心不老"
1,"八十 歲 老人 進幼 兒園","返老 還童"
3,"八十 歲 老翁 吹喇叭","有氣 無力"
1,"八十 歲 老翁 學手藝","老來 發奮"
3,"八十 歲 沒兒 女","老來 孤單"
3,"八十 歲 跳舞","老 天真"
1,"八十 歲 站櫃 檯","老在行"
3,"八仙桌 缺只 腳","擺 不平"
1,"八仙桌 上放盞 燈","明擺著"
3,"八旬 奶奶 三歲孫","老 的 老小 的 小"
1,"八月 的 柿子","越老 越紅"
3,"八月 的 絲瓜","黑心"
3,"八月 的 天氣","一會兒 晴 一會兒 陰"
1,"八月 桂花 開","到 處飄香"
3,"八月 裡的 黃 瓜棚","空架子"
2,"八月 十五 辦年貨","趕早 不 趕晚"
1,"八月 十五 吃月餅","正是 時候"
3,"八月 十五 吃 粽子","不是 時候"
1,"八月 十五 桂花香","花好 月圓"
3,"八月 十五 過年","差遠 了"
2,"八月 十五 團圓節","一年 一回"
3,"八月 十五 種 花生","瞎 指揮"
1,"八張牌 攤開 打","來明 的"
3,"八 隻 腳 的 螃蟹","橫行 霸道"
3,"八字 寫 一撇","少 一半"
3,"巴掌 被 蚊 咬","手癢"
3,"巴掌 長 瘡","毒手"
3,"巴掌 穿鞋","行不通"
3,"巴掌 打空氣","勞而 無功"
3,"巴掌 蒙 眼睛","其實 遮不住 天"
1,"巴掌 劈 磚頭","硬功夫"
3,"叭 拉 狗 掀門簾","全仗 一張 嘴"
3,"扒灰 頭講 禮書","說理 不 走理"
3,"扒 了 皮 的 癩 蛤蟆","活著 討厭 死 了 還嚇 人"
3,"扒 了 牆 的 廟","慌 了 神"
3,"芭蕉 插 在 古樹上","粗枝 大葉"
1,"芭蕉 敲鼓","面面俱到"
3,"疤瘌眼 照鏡子","自找 難看"
3,"疤上 生瘡","根底 壞"
3,"拔河 比賽","兩頭 拉"
1,"拔節 的 竹筍","天天向上"
1,"拔 了 蘿 蔔 窟窿 在","有 根有 據"
3,"拔 了 蘿 蔔 有 眼 在","不得 白 用力"
1,"拔 了 蘿 蔔 栽 上 蔥","一茬 比 一茬 辣"
3,"拔 了 毛 的 鳳凰","不如 雞"
3,"拔 了 毛 的 鴿子","看 你 咋 飛"
2,"拔 了 毛 的 獅子","惹 你 笑"
3,"把 鼻涕 往臉 上 抹","自找 難看"
2,"把 鐮 刀 卡 在 喉嚨 裡","吞 又 吞 不下 吐 又 吐 不 出來"
3,"把 牛角 安在 驢頭 上","四不像"
3,"把手 插 在 磨 眼裡","自找苦吃"
3,"把 它 當枕頭","置 之腦 後"
3,"把 珍珠 當 泥丸","真不識貨"
3,"把 狀元關 到門 背 後","埋 沒 人才"
1,"靶場 上 的 老黃忠","百發百中"
3,"靶場 上練 瞄準","睜 隻 眼閉 隻 眼"
3,"霸王 別姬","無可 奈何"
3,"霸王 請客","吃 也 得 吃 不吃 也 得 吃"
3,"霸王 項羽","不可一世"
1,"白 玻璃瓶 裝 清水","看透 了"
3,"白布 進 染缸","洗不清"
3,"白菜 長 心","老 了"
2,"白菜 燴 豆腐","誰 也 不 沾 誰 的 光"
3,"白痴 的 葫蘆","傻瓜 一個"
3,"白骨精 扮 新娘","妖里 妖氣"
3,"白骨精 唱歌","怪腔 怪調"
3,"白骨精 打跟頭","鬼把戲"
3,"白骨精 的 飯食","碰 也 不要 碰"
3,"白骨精 化 美女","人面 鬼心"
3,"白骨精 見 了孫 悟空","顯現 原形"
3,"白骨精 開口","不 講人話"
3,"白骨精 騙 唐僧","一計 不成 又 生一計"
3,"白骨精 說人話","妖言 惑眾"
3,"白骨精 想 吃 唐僧肉","痴心妄想"
3,"白骨精 遇上 孫 悟空","原形 畢露"
3,"白骨精 照鏡子","裡外 不是 人"
3,"白骨精 裝 新娘","妖里 妖氣"
1,"白鶴站 在 雞 群裡","突出"
3,"白蠟樹 上結 桂花","根子 不正"
2,"白臉 蛋 上 打粉","可有 可 無"
3,"白臉 奸臣 出場","惡相"
1,"白毛 烏鴉","與眾 不同"
3,"白米 換糠","有福 不會享"
3,"白 娘娘 鬥 法海","精 打光"
3,"白 娘娘 喝 了 雄 黃 酒","顯現 原形"
3,"白娘子 鬥 法海","精 打光"
3,"白娘子 喝 了 雄 黃 酒","顯現 原形"
1,"白娘子 救許 仙","盡心 盡力"
2,"白娘子 突斷橋","想起 舊情 來"
2,"白娘子 壓在 雷峰塔 下","總 有人 搭救"
1,"白娘子 遇許 仙","千里 姻緣 一線 牽"
3,"白日 做 夢","胡思 亂 想"
3,"白水 鍋裡 揭 豆腐皮","辦 不到"
3,"白水 煮 冬瓜","沒 啥 滋味"
3,"白水 煮 豆腐","淡而 無味"
2,"白素貞 不 捨 許仙","恩愛難分"
2,"白素貞 哭 斷橋","想起 舊情"
1,"白糖 拌 蜜糖","甜上 加甜"
3,"白天 打燈 籠","白搭"
3,"白天 照電筒","多此 一舉"
3,"白眼狼 戴眼鏡","冒充 好 了"
3,"白楊樹 葉子","兩 面光"
3,"白衣秀士 當 寨主","容不得 人"
3,"白蟻 蛀 觀音","自身 難保"
3,"白蟻 鑽過 的 料","壞透 了"
1,"白紙 黑字","黑白分明"
1,"百合 地裡 栽 甘蔗","苦根 甜苗"
3,"百家姓 上少 了 第二 姓","缺錢"
3,"百家姓 少 了 第二 姓","沒錢"
1,"百斤 擔子 加鐵砣","重任在肩"
3,"百里 草原 安家","孤孤單 單"
3,"百里 長 的 公路 不用 拐 彎","太直 了"
1,"百靈戲 牡丹","鳥語 花香"
1,"百靈遇 鸚鵡","會 唱 的 碰到 會 說 的"
1,"百米 短跑","有始 有終"
1,"百年 的 大樹","根深蒂固"
1,"百年 的 瓜子 千年 的 樹","根深蒂固"
3,"百年 的 歪 脖樹","定型 了"
3,"百年 鳥龜 下 臭 卵","老壞 蛋"
3,"百年 松樹 五月 芭蕉","粗枝 大葉"
1,"百鳥 展翅","各顯 其能"
2,"百歲 老人 過 生日","難得 有 一回"
1,"百歲 老人 學 跳舞","人 老 心不老"
1,"百歲 老人 做大壽","四世同堂"
2,"百萬雄 師下 江南","興師 動眾"
1,"百萬雄 獅過 大江","勢 不可 當"
3,"百 隻 麻雀 炒 碟 菜","儘 是 嘴"
1,"柏油 燙 豬頭","連 根拔"
3,"擺渡 不成 翻 了 舟","兩頭誤"
1,"敗家子 回頭","金不換"
3,"拜罷 天地 去 討飯","沒過 一天 好日子"
1,"拜年 不 磕頭","幹什麼 來 了"
1,"拜年 的 話","好 聽"
1,"拜年 的 見 了 面","你好 我 也好"
1,"拜堂 的 夫妻","謝天 謝地"
3,"扳不倒 照鏡子","裡外 不是 人"
2,"扳倒 大樹 掏 老鴿","揀 有把握 的 干"
2,"扳倒 大樹 掏 老鴰","揀 有把握 的 干"
2,"扳倒 大 甕 掏 小米","摸 到底 了"
2,"扳倒 葫蘆灑 了 油","一不做 二不休"
3,"扳倒 礁窩嚇 跑 婆婆","潑婦"
1,"扳倒 樹 掏 老鴰","穩 逮"
1,"扳手 緊 螺帽","絲絲入 扣"
2,"扳著 指頭 算賬","有數"
3,"班門 弄 斧","自不量力"
3,"斑 鳩 打架","賣 弄 風流"
1,"斑馬 的 腦袋","頭頭 是 道"
3,"搬家 丟了 老婆","粗心 極了"
2,"搬 竹竿 進 胡同","直來 直去"
3,"搬著 梯子 上天","沒門"
3,"板凳 倒地","四腳 朝天"
3,"板凳 倒立","四腳 朝天"
3,"板凳 爬 上 牆","怪事 一回"
3,"板凳 上 打麻將","抓不開"
1,"板凳 上擱 窩 窩頭","有板有眼"
3,"板門 上 貼門神","一個 向 東一個 向 西"
1,"板上 釘 釘子","穩 紮 穩打"
3,"半邊 豬頭","獨眼"
2,"半道 上 撿 個 喇叭","有 得 吹 了"
1,"半道 上遇 親人","喜相逢"
3,"半吊子 的 一半","二百五"
3,"半個 銅錢","不 成方 圓"
2,"半截 梭子 織布","獨來 獨往"
2,"半空 的 云彩","變化 多端"
3,"半空中 盪 鞦 韆","不落實"
1,"半空中 的 火把","高明"
1,"半空中 點燈","高明"
3,"半空中 吊 帳子","不著 實地"
1,"半空中 放風箏","總有 牽線 人"
1,"半空中 騎馬","騰云 駕霧"
2,"半籃子 喜鵲","嘰嘰 喳喳"
3,"半兩人 說 千斤 語","好大 的 口氣"
3,"半路上 碰見 劫 道 的","凶多吉少"
1,"半路上 出家","從頭 學起"
3,"半路上 丟算盤","失算 了"
3,"半路上 留 客人","嘴上 熱情"
2,"半路上 殺 出個 程咬金","突 如其 來 措手不及"
1,"半路上 殺 出個 楊 排風","好 厲害 的 丫頭"
3,"半路 天 小差","有始 無終"
3,"半瓶 於 醋","晃 蕩 得 很"
3,"半天 打不出 噴嚏 來","難受"
2,"半天 云裡 踩 鋼絲","提心 吊膽"
2,"半天 云里長 滿草","破天荒"
3,"半天 云裡 唱歌","調子 太高"
3,"半天 云裡 吃喝","空喊"
1,"半天 云裡 打燈 籠","高明"
3,"半天 云裡 打電話","空談"
3,"半天 云裡 打 麻雀","空對空"
1,"半天 云裡 打算 盤","算得 高"
3,"半天 云裡 翻 跟頭","不著 實地"
1,"半天 云裡 翻賬 簿","算得 高"
3,"半天 云裡 放屁","臭氣 熏天"
1,"半天 云裡掛 剪子","高才"
1,"半天 云裡 喊口號","呼聲 很 高"
3,"半天 云里 拉家常","空談"
1,"半天 云裡 聊天","高談 闊論"
3,"半天 云裡 拋 棉花","肯定 落空"
3,"半天 云裡 跑 馬","露馬腳"
2,"半天 云裡 騎仙鶴","遠 走高 飛"
1,"半天 云裡響 炸雷","驚天動 地"
3,"半天 云裡 寫 文章","空話連"
1,"半天 云裡 演雜技","藝高人 膽大"
3,"半天 云裡 找 對象","要求 太高"
1,"半天 云裡 作演 說","高論"
1,"半天 云裡 做 演說","高論"
1,"半天 云中 拍巴掌","高手"
3,"半天 抓云","一句 空話"
3,"半響 打不出 噴嚏 來","干難 受"
3,"半夜 拔河","暗中 使勁"
3,"半夜 吃 甘庶","不知 頭尾"
2,"半夜 吃黃連","暗中 叫苦"
3,"半夜 出門 做生意","賺 黑 錢"
1,"半夜 打雷 心不驚","問心 無愧"
3,"半夜 彈琴","暗中 作樂"
1,"半夜 過獨木橋","步步小心"
3,"半夜 雞 叫","亂 了 時辰"
3,"半夜 裡和面","瞎鼓 搗"
3,"半夜 裡掄 大斧","瞎 砍 一通"
2,"半夜 裡摘 茄子","不分 老嫩"
3,"半夜 聊天","瞎 說"
3,"半夜 鬧 王殿","暗中 搞鬼"
3,"半夜 爬山","不知高低"
3,"半夜 起來 罵 閻王","等 死 等 不到 天亮"
1,"半夜 敲鐘","一鳴 驚人"
1,"半夜三更 放鞭炮","一鳴 驚人"
2,"半夜 做惡 夢","虛驚 一場"
3,"半夜 做 買 賣","暗中 交易"
3,"半夜 做 夢 娶 新娘","想得美"
3,"吃 米 不 記種 田人","忘本"
